Region,SubRegion,Country,City,Airport name,IATA Code
Asia,Central Asia,Kazakhstan,Atyrau,Atyrau Airport,GUW
Asia,Central Asia,Kazakhstan,Karaganda,Karaganda Airport,KGF
Asia,Central Asia,Kazakhstan,Kokshetau,Kokshetau Airport,KOV
Asia,Central Asia,Kazakhstan,Kostanay,Kostanay Airport,KSN
Asia,Central Asia,Kazakhstan,Kyzylorda,Kyzylorda Airport,KZO
Asia,Central Asia,Kazakhstan,Nur-Sultan,Nursultan Nazarbayev International Airport,TSE
Asia,Central Asia,Kazakhstan,Oral,Oral Ak Zhol Airport,URA
Asia,Central Asia,Kazakhstan,Oskemen,Oskemen Airport,UKK
Asia,Central Asia,Kazakhstan,Pavlodar,Pavlodar Airport,PWQ
Asia,Central Asia,Kazakhstan,Petropavl,Petropavl Airport,PPK
Asia,Central Asia,Kazakhstan,Semey,Semey Airport,PLX
Asia,Central Asia,Kazakhstan,Shymkent,Shymkent Airport,CIT
Asia,Central Asia,Kazakhstan,Taraz,Taraz Airport,DMB
Asia,Central Asia,Kyrgyzstan,Bishkek,Manas International Airport,FRU
Asia,Central Asia,Kyrgyzstan,Issyk-Kul,Issyk-Kul International Airport,IKU
Asia,Central Asia,Kyrgyzstan,Karakol,Karakol International Airport,КПЖ (Russian)
Asia,Central Asia,Kyrgyzstan,Osh,Osh Airport,OSS
Asia,Central Asia,Tajikistan,Bokhtar,Bokhtar International Airport,KQT
Asia,Central Asia,Tajikistan,Dushanbe,Dushanbe Airport,DYU
Asia,Central Asia,Tajikistan,Khujand,Khujand Airport,LBD
Asia,Central Asia,Tajikistan,Kulob,Kulob Airport,TJU
Asia,Central Asia,Turkmenistan,Ashgabat,Ashgabat Airport,ASB
Asia,Central Asia,Turkmenistan,Daşoguz,Daşoguz Airport,TAZ
Asia,Central Asia,Turkmenistan,Mary,Mary International Airport,MYP
Asia,Central Asia,Turkmenistan,Turkmenbashi,Turkmenbashi International Airport,KRW
Asia,Central Asia,Turkmenistan,Türkmenabat,Turkmenabat International Airport,CRZ
Asia,Central Asia,Uzbekistan,Andijan,Andizhan Airport,AZN
Asia,Central Asia,Uzbekistan,Bukhara,Bukhara International Airport,BHK
Asia,Central Asia,Uzbekistan,Fergana,Fergana International Airport,FEG
Asia,Central Asia,Uzbekistan,Qarshi,Karshi Airport,KSQ
Asia,Central Asia,Uzbekistan,Namangan,Namangan Airport,NMA
Asia,Central Asia,Uzbekistan,Navoi,Navoi International Airport,NVI
Asia,Central Asia,Uzbekistan,Nukus,Nukus Airport,NCU
Asia,Central Asia,Uzbekistan,Samarkand,Samarkand International Airport,SKD
Asia,Central Asia,Uzbekistan,Tashkent,Islam Karimov Tashkent International Airport,TAS
Asia,Central Asia,Uzbekistan,Termez,Termez Airport,TMJ
Asia,Central Asia,Uzbekistan,Urgench,Urgench International Airport,UGC
Asia,East Asia,North Korea,Pyongyang,Pyongyang International Airport,FNJ
Asia,East Asia,Japan,Akita,Akita Airport,AXT
Asia,East Asia,Japan,Aomori,Aomori Airport,AOJ
Asia,East Asia,Japan,Fukuoka,Fukuoka Airport,FUK
Asia,East Asia,Japan,Hakodate,Hakodate Airport,HKD
Asia,East Asia,Japan,Kagoshima,Kagoshima Airport,KOJ
Asia,East Asia,Japan,Komatsu,Komatsu Airport,KMQ
Asia,East Asia,Japan,Hiroshima,Hiroshima Airport,HIJ
Asia,East Asia,Japan,Kitakyushu,Kitakyushu Airport,KKJ
Asia,East Asia,Japan,Nagasaki,Nagasaki Airport,NGS
Asia,East Asia,Japan,Naha,Naha Airport,OKA
Asia,East Asia,Japan,Nagoya,Chubu Centrair International Airport,NGO
Asia,East Asia,Japan,Niigata,Niigata Airport,KIJ
Asia,East Asia,Japan,Ōita,Oita Airport,OIT
Asia,East Asia,Japan,Okayama,Okayama Airport,OKJ
Asia,East Asia,Japan,Osaka,Kansai International Airport,KIX
Asia,East Asia,Japan,Sapporo,New Chitose Airport,CTS
Asia,East Asia,Japan,Sendai,Sendai Airport,SDJ
Asia,East Asia,Japan,Shizuoka,Shizuoka Airport,FSZ
Asia,East Asia,Japan,Tokyo,/,Yokohama
Asia,East Asia,Japan,Tokyo,/,Chiba
Asia,East Asia,Mongolia,Ulaanbaatar,Chinggis Khaan International Airport,ULN
Asia,East Asia,China,Baotou,Baotou Donghe Airport,BAV
Asia,East Asia,China,Beihai,Beihai Fucheng Airport,BHY
Asia,East Asia,China,Beijing,Beijing Capital International Airport,PEK
Asia,East Asia,China,Beijing Daxing International Airport,PKX,
Asia,East Asia,China,Changchun,Changchun Longjia International Airport,CGQ
Asia,East Asia,China,Changsha,Changsha Huanghua International Airport,CSX
Asia,East Asia,China,Changzhou,Changzhou Benniu International Airport,CZX
Asia,East Asia,China,Chengdu,Chengdu Shuangliu International Airport,CTU
Asia,East Asia,China,Chengdu Tianfu International Airport,TFU,
Asia,East Asia,China,Chongqing,Chongqing Jiangbei International Airport,CKG
Asia,East Asia,China,Dalian,Dalian Zhoushuizi International Airport,DLC
Asia,East Asia,China,Dandong,Dandong Langtou Airport,DDG
Asia,East Asia,China,Datong,Datong Yungang Airport,DAT
Asia,East Asia,China,Dunhuang,Dunhuang Mogao International Airport,DNH
Asia,East Asia,China,Enshi City,Enshi Xujiaping Airport,ENH
